model	args_model	args_model_md5	args_model_url
Chip/OpenChrom/Cmyc/K562	model_files/wgEncodeOpenChromChipK562CmycAlnRep0_train_gS_11_3_1.model.txt	e5f94c246d3be88573154a5ad5189e2f	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipK562CmycAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Cmyc/Mcf7_Estro	model_files/wgEncodeOpenChromChipMcf7CmycEstroAlnRep0_train_gS_11_3_1.model.txt	94ac14fdbc407da8a4eb85348a635c88	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipMcf7CmycEstroAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Cmyc/Mcf7_Veh	model_files/wgEncodeOpenChromChipMcf7CmycVehAlnRep0_train_gS_11_3_1.model.txt	6a046ce4c499b37e5bd27e580aba3978	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipMcf7CmycVehAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Fibrobl	model_files/wgEncodeOpenChromChipFibroblCtcfAlnRep0_train_gS_11_3_1.model.txt	00683ee9b881e80132f4b1a05b6da583	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipFibroblCtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Gliobla	model_files/wgEncodeOpenChromChipGlioblaCtcfAlnRep0_train_gS_11_3_1.model.txt	799e8d3d34462bc7aaa809aaaf74230a	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipGlioblaCtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Gm12878	model_files/wgEncodeOpenChromChipGm12878CtcfAlnRep0_train_gS_11_3_1.model.txt	b45824bc0492a6c5925ec808fc7c5b0a	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipGm12878CtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Helas3	model_files/wgEncodeOpenChromChipHelas3CtcfAlnRep0_train_gS_11_3_1.model.txt	42c8e9895529b5883b6a46001dfae625	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipHelas3CtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Hepg2	model_files/wgEncodeOpenChromChipHepg2CtcfAlnRep0_train_gS_11_3_1.model.txt	9c073b5c81d70495c50d915986b5ae1c	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipHepg2CtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Huvec	model_files/wgEncodeOpenChromChipHuvecCtcfAlnRep0_train_gS_11_3_1.model.txt	4a5fcf73b20c81bb866b05473a348db7	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipHuvecCtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/K562	model_files/wgEncodeOpenChromChipK562CtcfAlnRep0_train_gS_11_3_1.model.txt	d087d214103ba81e25649fd8073758a2	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipK562CtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Mcf7	model_files/wgEncodeOpenChromChipMcf7CtcfAlnRep0_train_gS_11_3_1.model.txt	7b6cc4c19380cfbdca1013a672467f6c	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipMcf7CtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Mcf7_Estro	model_files/wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_train_gS_11_3_1.model.txt	bf7864c465ed3442f279246075c92402	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Mcf7_Veh	model_files/wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_train_gS_11_3_1.model.txt	bb1f6ee76d0928564f8c90f55b0089b4	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Ctcf/Progfib	model_files/wgEncodeOpenChromChipProgfibCtcfAlnRep0_train_gS_11_3_1.model.txt	bc022bab06644ee27d2351f6d39188ad	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipProgfibCtcfAlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/Gliobla	model_files/wgEncodeOpenChromChipGlioblaPol2AlnRep0_train_gS_11_3_1.model.txt	60dbca0857922591abc27b9910890379	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipGlioblaPol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/Gm12878	model_files/wgEncodeOpenChromChipGm12878Pol2AlnRep0_train_gS_11_3_1.model.txt	99dec5965f339ca6b67b691c9d86c026	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipGm12878Pol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/Helas3	model_files/wgEncodeOpenChromChipHelas3Pol2AlnRep0_train_gS_11_3_1.model.txt	00d8a7597b233da8628f37b92cf0d774	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipHelas3Pol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/Hepg2	model_files/wgEncodeOpenChromChipHepg2Pol2AlnRep0_train_gS_11_3_1.model.txt	60e43eaf6c23a321f0d7ff2c95ee56af	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipHepg2Pol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/Huvec	model_files/wgEncodeOpenChromChipHuvecPol2AlnRep0_train_gS_11_3_1.model.txt	df90b0577894d3164ad14ac751d3fac4	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipHuvecPol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/K562	model_files/wgEncodeOpenChromChipK562Pol2AlnRep0_train_gS_11_3_1.model.txt	9065f677cb14720149ca0f38c0d08122	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipK562Pol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/Mcf7	model_files/wgEncodeOpenChromChipMcf7Pol2AlnRep0_train_gS_11_3_1.model.txt	fdaa3e7a5bb6f2ca38644f06868a2af0	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipMcf7Pol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Chip/OpenChrom/Pol2/Progfib	model_files/wgEncodeOpenChromChipProgfibPol2AlnRep0_train_gS_11_3_1.model.txt	f06f48ae9ce2dbd2222737265ca1783e	https://zenodo.org/record/1466097/files/wgEncodeOpenChromChipProgfibPol2AlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Gm12878/Broad_Std	model_files/wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_train_gS_11_3_1.model.txt	0d3dd23c2511c2112aada66fe30b9c6e	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/H1hesc/Broad_Std	model_files/wgEncodeBroadHistoneH1hescCtcfStdAlnRep0_train_gS_11_3_1.model.txt	735322ed9799690de05dcd28840d3a6d	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneH1hescCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Helas3/Broad_Std	model_files/wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_train_gS_11_3_1.model.txt	b75d3108432be9b54fba525d71da97b8	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Hepg2/Broad_Std	model_files/wgEncodeBroadHistoneHepg2CtcfStdAlnRep0_train_gS_11_3_1.model.txt	985fc8a46530a56c782f4838d47a356d	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHepg2CtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Hmec/Broad_Std	model_files/wgEncodeBroadHistoneHmecCtcfStdAlnRep0_train_gS_11_3_1.model.txt	653431620461136b9a08527d49352cc0	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHmecCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Hsmm/Broad_Std	model_files/wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_train_gS_11_3_1.model.txt	1c23095c52cd108ba152aa81422e6d53	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
Histone/Ctcf/Hsmmt/Broad_Std	model_files/wgEncodeBroadHistoneHsmmtCtcfStdAlnRep0_train_gS_11_3_1.model.txt	735f2c6c77a41573a2d4929801c5dd0e	https://zenodo.org/record/1466097/files/wgEncodeBroadHistoneHsmmtCtcfStdAlnRep0_train_gS_11_3_1.model.txt?download=1
