model	args_weights	args_weights_md5	args_weights_url	dl_md5	dl_url
U2AF1	model_files/U2AF1.h5	136c2f8184bccd750aa47f0f2fd8f036	https://zenodo.org/record/1466102/files/U2AF1.h5?download=1	ac1ee344033794b8006277cab7cde94b	https://sandbox.zenodo.org/record/248594/files/U2AF1.dataloader.pkl?download=1
U2AF2	model_files/U2AF2.h5	51cd0c2392b0c51490eff3edbf84251c	https://zenodo.org/record/1466102/files/U2AF2.h5?download=1	6c93297825bcae0addfef868188a1f35	https://sandbox.zenodo.org/record/248594/files/U2AF2.dataloader.pkl?download=1
UCHL5	model_files/UCHL5.h5	e92d9478e7c359b4d978e33bcdaac80b	https://zenodo.org/record/1466102/files/UCHL5.h5?download=1	0b6d1ed37715923e03a6073b2f21379a	https://sandbox.zenodo.org/record/248594/files/UCHL5.dataloader.pkl?download=1
UPF1	model_files/UPF1.h5	2bebbef5f01acf250cc27c813f0bf5ee	https://zenodo.org/record/1466102/files/UPF1.h5?download=1	0d302edc6fa91ef8d74dc1c32e0ae9e6	https://sandbox.zenodo.org/record/248594/files/UPF1.dataloader.pkl?download=1
XPO5	model_files/XPO5.h5	aaefa3bf4bf7a2a7d074d50a7b1ced1f	https://zenodo.org/record/1466102/files/XPO5.h5?download=1	a6d3c8aa3230b95eb90f35cc3e2de51b	https://sandbox.zenodo.org/record/248594/files/XPO5.dataloader.pkl?download=1
XRN2	model_files/XRN2.h5	9c3d907edf2abda054bc7246e02821bb	https://zenodo.org/record/1466102/files/XRN2.h5?download=1	25e1e82fd6a7a40c18ad3430b1bd9dc4	https://sandbox.zenodo.org/record/248594/files/XRN2.dataloader.pkl?download=1
YBX3	model_files/YBX3.h5	b9a270d29b4745dd74677d72f459a0b8	https://zenodo.org/record/1466102/files/YBX3.h5?download=1	0d97efc6833c109a388c3bc236fc508d	https://sandbox.zenodo.org/record/248594/files/YBX3.dataloader.pkl?download=1
YWHAG	model_files/YWHAG.h5	3ebb3cb5da18d874b5d7e9d14000dc0d	https://zenodo.org/record/1466102/files/YWHAG.h5?download=1	4c3f15984b86dcd8a020e5d2a12865ff	https://sandbox.zenodo.org/record/248594/files/YWHAG.dataloader.pkl?download=1
ZNF622	model_files/ZNF622.h5	5e901b508e7d1a670200631253c901be	https://zenodo.org/record/1466102/files/ZNF622.h5?download=1	d93b4a3b348fa3ac696eaaa28e0a8785	https://sandbox.zenodo.org/record/248594/files/ZNF622.dataloader.pkl?download=1
ZRANB2	model_files/ZRANB2.h5	b2dc1827e7e70c37840c7e03dcaa7018	https://zenodo.org/record/1466102/files/ZRANB2.h5?download=1	51039a4e8222e9640f2148486122861e	https://sandbox.zenodo.org/record/248594/files/ZRANB2.dataloader.pkl?download=1
